lr,mean_best_metric,mean_final_metric,method_group,metric_name,num_runs,seeds,task
0.0001,0.5946667237559575,0.5761556871462907,kasa,matthews_correlation,3,"0,123,42",cola
0.0003,0.6174197674832911,0.5923935344936224,kasa,matthews_correlation,3,"0,123,42",cola
0.001,0.6235490701716397,0.6092379809337145,kasa,matthews_correlation,3,"0,123,42",cola
0.003,0.49785916173757716,0.19944973718488734,kasa,matthews_correlation,3,"0,123,42",cola
0.0001,0.5917939669235098,0.5720662320500023,kasa_noaux,matthews_correlation,3,"0,123,42",cola
0.0003,0.6190769181453435,0.5964951284771134,kasa_noaux,matthews_correlation,3,"0,123,42",cola
0.001,0.6370785324424074,0.6232828633178688,kasa_noaux,matthews_correlation,3,"0,123,42",cola
0.003,0.33010937777767807,0.0,kasa_noaux,matthews_correlation,3,"0,123,42",cola
0.0001,0.5897456372479529,0.5804117340298226,lora,matthews_correlation,3,"0,123,42",cola
0.0003,0.6224273415253092,0.6099375590934826,lora,matthews_correlation,3,"0,123,42",cola
0.001,0.632323883750737,0.619906037646692,lora,matthews_correlation,3,"0,123,42",cola
0.003,0.22603476355424776,0.0,lora,matthews_correlation,3,"0,123,42",cola
0.0001,0.5828895906928632,0.5745813512459286,lora_diag,matthews_correlation,3,"0,123,42",cola
0.0003,0.6194649999411932,0.5955088131405196,lora_diag,matthews_correlation,3,"0,123,42",cola
0.001,0.6267249207223843,0.6165426762199969,lora_diag,matthews_correlation,3,"0,123,42",cola
0.003,0.08294038180176648,0.0,lora_diag,matthews_correlation,3,"0,123,42",cola
0.0001,0.589886566453628,0.5770088952054784,lora_diag_l2,matthews_correlation,3,"0,123,42",cola
0.0003,0.6282122098893863,0.6082673584711619,lora_diag_l2,matthews_correlation,3,"0,123,42",cola
0.001,0.6331940102121255,0.6149052627880014,lora_diag_l2,matthews_correlation,3,"0,123,42",cola
0.003,0.3103267716669769,0.0,lora_diag_l2,matthews_correlation,3,"0,123,42",cola
0.0001,0.5905747450030051,0.5753977673733619,lora_diag_rot,matthews_correlation,3,"0,123,42",cola
0.0003,0.6349862749960702,0.6022948216756577,lora_diag_rot,matthews_correlation,3,"0,123,42",cola
0.001,0.6361363431530574,0.6057073380380519,lora_diag_rot,matthews_correlation,3,"0,123,42",cola
0.003,0.17788498124801622,0.0,lora_diag_rot,matthews_correlation,3,"0,123,42",cola
0.0001,0.5856001700378436,,svd_only,matthews_correlation,3,"0,123,42",cola
0.0003,0.6224279360333421,,svd_only,matthews_correlation,3,"0,123,42",cola
0.001,0.3745608494831161,,svd_only,matthews_correlation,3,"0,123,42",cola
0.003,0.19666611799150377,,svd_only,matthews_correlation,3,"0,123,42",cola
0.0001,0.8725490196078431,0.8619281045751634,kasa,accuracy,3,"0,123,42",mrpc
0.0003,0.8913398692810457,0.8815359477124183,kasa,accuracy,3,"0,123,42",mrpc
0.001,0.8913398692810457,0.8799019607843137,kasa,accuracy,3,"0,123,42",mrpc
0.003,0.7834967320261438,0.6838235294117648,kasa,accuracy,3,"0,123,42",mrpc
0.0001,0.8717320261437909,0.863562091503268,kasa_noaux,accuracy,3,"0,123,42",mrpc
0.0003,0.8897058823529411,0.8774509803921569,kasa_noaux,accuracy,3,"0,123,42",mrpc
0.001,0.9011437908496732,0.8929738562091503,kasa_noaux,accuracy,3,"0,123,42",mrpc
0.003,0.7843137254901961,0.6838235294117648,kasa_noaux,accuracy,3,"0,123,42",mrpc
0.0001,0.8790849673202614,0.8741830065359477,lora,accuracy,3,"0,123,42",mrpc
0.0003,0.8954248366013071,0.8905228758169934,lora,accuracy,3,"0,123,42",mrpc
0.001,0.8970588235294118,0.8880718954248366,lora,accuracy,3,"0,123,42",mrpc
0.003,0.8145424836601306,0.6838235294117648,lora,accuracy,3,"0,123,42",mrpc
0.0001,0.869281045751634,0.8660130718954249,lora_diag,accuracy,3,"0,123,42",mrpc
0.0003,0.8905228758169934,0.8856209150326797,lora_diag,accuracy,3,"0,123,42",mrpc
0.001,0.8888888888888888,0.8799019607843137,lora_diag,accuracy,3,"0,123,42",mrpc
0.003,0.7622549019607844,0.6838235294117648,lora_diag,accuracy,3,"0,123,42",mrpc
0.0001,0.8684640522875817,0.863562091503268,lora_diag_l2,accuracy,3,"0,123,42",mrpc
0.0003,0.8823529411764706,0.863562091503268,lora_diag_l2,accuracy,3,"0,123,42",mrpc
0.001,0.8905228758169935,0.8782679738562091,lora_diag_l2,accuracy,3,"0,123,42",mrpc
0.003,0.7565359477124183,0.6838235294117648,lora_diag_l2,accuracy,3,"0,123,42",mrpc
0.0001,0.8660130718954249,0.8643790849673203,lora_diag_rot,accuracy,3,"0,123,42",mrpc
0.0003,0.8848039215686274,0.8758169934640523,lora_diag_rot,accuracy,3,"0,123,42",mrpc
0.001,0.8995098039215687,0.8888888888888888,lora_diag_rot,accuracy,3,"0,123,42",mrpc
0.003,0.7998366013071895,0.6838235294117648,lora_diag_rot,accuracy,3,"0,123,42",mrpc
0.0001,0.875,,svd_only,accuracy,3,"0,123,42",mrpc
0.0003,0.8897058823529411,,svd_only,accuracy,3,"0,123,42",mrpc
0.001,0.8913398692810457,,svd_only,accuracy,3,"0,123,42",mrpc
0.003,0.7777777777777777,,svd_only,accuracy,3,"0,123,42",mrpc
0.0001,0.7328519855595669,0.7220216606498195,kasa,accuracy,3,"0,123,42",rte
0.0003,0.7737665463297233,0.7509025270758123,kasa,accuracy,3,"0,123,42",rte
0.001,0.779783393501805,0.7653429602888085,kasa,accuracy,3,"0,123,42",rte
0.003,0.5667870036101084,0.5270758122743683,kasa,accuracy,3,"0,123,42",rte
0.0001,0.7376654632972323,0.7304452466907341,kasa_noaux,accuracy,3,"0,123,42",rte
0.0003,0.7677496991576414,0.7641395908543922,kasa_noaux,accuracy,3,"0,123,42",rte
0.001,0.6955475330926594,0.6895306859205776,kasa_noaux,accuracy,3,"0,123,42",rte
0.003,0.5354993983152828,0.5270758122743683,kasa_noaux,accuracy,3,"0,123,42",rte
0.0001,0.7412755716004814,0.7352587244283996,lora,accuracy,3,"0,123,42",rte
0.0003,0.7653429602888085,0.7509025270758123,lora,accuracy,3,"0,123,42",rte
0.001,0.776173285198556,0.7593261131167268,lora,accuracy,3,"0,123,42",rte
0.003,0.5270758122743683,0.4909747292418773,lora,accuracy,3,"0,123,42",rte
0.0001,0.7292418772563177,0.7063778580024067,lora_diag,accuracy,3,"0,123,42",rte
0.0003,0.766546329723225,0.7521058965102286,lora_diag,accuracy,3,"0,123,42",rte
0.001,0.7677496991576414,0.756919374247894,lora_diag,accuracy,3,"0,123,42",rte
0.003,0.5379061371841155,0.5270758122743683,lora_diag,accuracy,3,"0,123,42",rte
0.0001,0.7280385078219013,0.720818291215403,lora_diag_l2,accuracy,3,"0,123,42",rte
0.0003,0.7629362214199759,0.740072202166065,lora_diag_l2,accuracy,3,"0,123,42",rte
0.001,0.6895306859205776,0.6738868832731648,lora_diag_l2,accuracy,3,"0,123,42",rte
0.003,0.5463297232250302,0.5270758122743683,lora_diag_l2,accuracy,3,"0,123,42",rte
0.0001,0.7328519855595669,0.7244283995186523,lora_diag_rot,accuracy,3,"0,123,42",rte
0.0003,0.7605294825511432,0.7472924187725631,lora_diag_rot,accuracy,3,"0,123,42",rte
0.001,0.7773766546329722,0.7496991576413959,lora_diag_rot,accuracy,3,"0,123,42",rte
0.003,0.5511432009626955,0.5270758122743683,lora_diag_rot,accuracy,3,"0,123,42",rte
0.0001,0.7328519855595669,,svd_only,accuracy,3,"0,123,42",rte
0.0003,0.7689530685920577,,svd_only,accuracy,3,"0,123,42",rte
0.001,0.7870036101083032,,svd_only,accuracy,3,"0,123,42",rte
0.003,0.5270758122743683,,svd_only,accuracy,3,"0,123,42",rte
0.0001,0.944954128440367,0.9434250764525993,kasa,accuracy,3,"0,123,42",sst2
0.0003,0.9438073394495413,0.9392201834862385,kasa,accuracy,3,"0,123,42",sst2
0.001,0.9434250764525993,0.9403669724770642,kasa,accuracy,3,"0,123,42",sst2
0.003,0.9438073394495413,0.9399847094801222,kasa,accuracy,3,"0,123,42",sst2
0.0001,0.9441896024464832,0.9418960244648318,kasa_noaux,accuracy,3,"0,123,42",sst2
0.0003,0.9453363914373089,0.9415137614678898,kasa_noaux,accuracy,3,"0,123,42",sst2
0.001,0.9499235474006116,0.9445718654434251,kasa_noaux,accuracy,3,"0,123,42",sst2
0.003,0.9415137614678898,0.9373088685015291,kasa_noaux,accuracy,3,"0,123,42",sst2
0.0001,0.9418960244648318,0.9388379204892967,lora,accuracy,3,"0,123,42",sst2
0.0003,0.9445718654434251,0.940749235474006,lora,accuracy,3,"0,123,42",sst2
0.001,0.9441896024464832,0.9403669724770642,lora,accuracy,3,"0,123,42",sst2
0.003,0.5091743119266054,0.5091743119266054,lora,accuracy,3,"0,123,42",sst2
0.0001,0.9438073394495413,0.941131498470948,lora_diag,accuracy,3,"0,123,42",sst2
0.0003,0.948394495412844,0.9441896024464832,lora_diag,accuracy,3,"0,123,42",sst2
0.001,0.9510703363914373,0.9472477064220183,lora_diag,accuracy,3,"0,123,42",sst2
0.003,0.9472477064220183,0.9441896024464832,lora_diag,accuracy,3,"0,123,42",sst2
0.0001,0.9438073394495413,0.941131498470948,lora_diag_l2,accuracy,3,"0,123,42",sst2
0.0003,0.9480122324159023,0.9434250764525993,lora_diag_l2,accuracy,3,"0,123,42",sst2
0.001,0.948776758409786,0.9430428134556575,lora_diag_l2,accuracy,3,"0,123,42",sst2
0.003,0.9445718654434251,0.9396024464831805,lora_diag_l2,accuracy,3,"0,123,42",sst2
0.0001,0.944954128440367,0.9403669724770642,lora_diag_rot,accuracy,3,"0,123,42",sst2
0.0003,0.9476299694189603,0.9438073394495413,lora_diag_rot,accuracy,3,"0,123,42",sst2
0.001,0.948012232415902,0.9438073394495413,lora_diag_rot,accuracy,3,"0,123,42",sst2
0.003,0.9472477064220183,0.9430428134556575,lora_diag_rot,accuracy,3,"0,123,42",sst2
0.0001,0.9430428134556575,,svd_only,accuracy,3,"0,123,42",sst2
0.0003,0.944954128440367,,svd_only,accuracy,3,"0,123,42",sst2
0.001,0.9495412844036698,,svd_only,accuracy,3,"0,123,42",sst2
0.003,0.5091743119266054,,svd_only,accuracy,3,"0,123,42",sst2
