batch_size,batches_seen,iqr_spearman_sigma_alignment,mean_alignment_sum,mean_bottomk_alignment_mass,mean_bottomk_alignment_mean,mean_gradient_norm_fro,mean_spearman_sigma_alignment,mean_top_bottom_alignment_ratio,mean_topk_alignment_mass,mean_topk_alignment_mean,median_spearman_sigma_alignment,model_name_or_path,num_batches,num_modules,q1_spearman_sigma_alignment,q3_spearman_sigma_alignment,rank,results_path,run_id,seed,target_modules,task
32,16,0.27107541690473236,0.5026398561894894,0.08896196804319818,0.008459942838953793,1.6456691625838478,-0.37899533260401846,0.866880575457706,0.014905761374393478,0.00029607412822466966,-0.37649613210234256,roberta-base,16,24,-0.5314174694675351,-0.26034205256280274,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/cola_s0/results.json,cola_s0,0,"query,value",cola
32,16,0.25493376296787346,0.24416953550341228,0.08085629627263795,0.003726465507800943,0.8101463609685501,-0.39152321040591836,0.44940356881415694,0.012775267294879692,0.00014670982758010118,-0.3827770682899785,roberta-base,16,24,-0.5355870664801136,-0.2806533035122401,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/cola_s123/results.json,cola_s123,123,"query,value",cola
32,16,0.24435027807070941,0.48241038993000984,0.09460033352176349,0.009628297430405533,1.5313414277819295,-0.3729682861426224,0.6975736818168197,0.013770457165567981,0.00023328111789548225,-0.3738516019848327,roberta-base,16,24,-0.5391613048003384,-0.294811026729629,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/cola_s42/results.json,cola_s42,42,"query,value",cola
32,16,0.2548072618289724,0.45269148144870996,0.08897486084606498,0.007453729893920051,1.3294435994078715,-0.3621377804142796,0.9353506951372932,0.017851750361539114,0.0004757970394469642,-0.3687781652292298,roberta-base,16,24,-0.5156698757508609,-0.2608626139218885,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/mrpc_s0/results.json,mrpc_s0,0,"query,value",mrpc
32,16,0.22803545910171352,0.24033667224769792,0.09328756562899798,0.004058936010702989,0.704457571109136,-0.403550773697858,0.9292331413305859,0.016202692311101902,0.00020606217731256038,-0.42986551950754714,roberta-base,16,24,-0.5471401682687009,-0.3191047091669874,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/mrpc_s123/results.json,mrpc_s123,123,"query,value",mrpc
32,16,0.24932439345151003,0.6444332174335917,0.09520138511046146,0.011869591180887559,1.8368500983342528,-0.3901681803976221,0.8031455480667349,0.015293858739217589,0.0004955319618602516,-0.4199779663772013,roberta-base,16,24,-0.5322867848172248,-0.28296239136571477,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/mrpc_s42/results.json,mrpc_s42,42,"query,value",mrpc
32,16,0.29762535089976133,0.15730862792891762,0.08452834204460184,0.002370701539954704,0.4586051912823071,-0.377107252547795,0.5439429074358021,0.01358177985336321,0.00011273014100273333,-0.36591293860615814,roberta-base,16,24,-0.5533373332974467,-0.2557119823976854,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/rte_s0/results.json,rte_s0,0,"query,value",rte
32,16,0.26402218202537037,0.1405355802271515,0.07901045043642323,0.002032413131322149,0.4278575791977346,-0.3738074260378396,0.4212910539403754,0.01186507554181541,9.826143802153335e-05,-0.38586957443165154,roberta-base,16,24,-0.5246755104391487,-0.26065332841377836,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/rte_s123/results.json,rte_s123,123,"query,value",rte
32,16,0.21871051516726203,0.17727188913462064,0.09438223508186638,0.0031628571432520403,0.5009123616230985,-0.3674852887244435,0.4286528072348283,0.01274508006463293,0.00012883833005616907,-0.36591867514205056,roberta-base,16,24,-0.5022957297676591,-0.2835852146003971,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/rte_s42/results.json,rte_s42,42,"query,value",rte
32,16,0.2463609382073096,0.1762354397214949,0.09594665060285479,0.002885998310375726,0.5628162603825331,-0.387463197822341,0.6358478257972225,0.01656508494731194,0.00013770903630453782,-0.4072201533341358,roberta-base,16,24,-0.5237313249059463,-0.27737038669863673,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/sst2_s0/results.json,sst2_s0,0,"query,value",sst2
32,16,0.21232553558440415,0.11114929104223847,0.08563455582285921,0.0015290008531489245,0.34026469142797094,-0.3863842316095252,0.764799243839887,0.014871603935413683,9.635702357021121e-05,-0.40320907183171895,roberta-base,16,24,-0.5223740188793926,-0.31004848329498846,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/sst2_s123/results.json,sst2_s123,123,"query,value",sst2
32,16,0.25803730923302415,0.34377676364965737,0.0851550887261207,0.0061436670272693545,1.1281535082962364,-0.4000615129942882,0.5865587105836608,0.01390345582816129,0.0001529274374358162,-0.4350264825210275,roberta-base,16,24,-0.5354222394896435,-0.27738493025661937,8,outputs/kasa_mechanistic/full/exp1_gradient_alignment/sst2_s42/results.json,sst2_s42,42,"query,value",sst2
