adapter_dir,mean_C_k_norm_fro,mean_C_norm_fro,mean_R_diag,mean_R_diag_k,mean_R_off,mean_R_off_k,mean_delta_norm_fro,mean_diag_energy,mean_diag_energy_k,mean_diag_norm,mean_effective_rank,mean_eta_k,mean_offdiag_energy,mean_offdiag_energy_k,mean_rank_k,mean_subspace_energy_k,mean_top_singular_value_w0,mean_w0_norm_fro,method,model_name_or_path,num_modules,rank_k,results_path,run_id,target_modules,task
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s0,0.18200241716187315,12.514260217642152,0.0013432459467821222,0.14092107900132153,0.9986567540532177,0.8590789209986783,12.512727797031403,0.2365493200098475,0.007109597594535444,2.410499890645345,4.529044926166534,0.0002471227996643654,174.8906662243729,0.034760795827120695,8.0,0.04187039342165614,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr1e-3_s0/results.json,kasa_cola_lr1e-3_s0,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s123,0.18642977329868257,13.309927185500698,0.0013012163914534827,0.13058923093946842,0.9986987836085462,0.8694107690605316,13.308298448721567,0.25759949441999197,0.0060369587093494674,2.7154539624849954,4.6516987929741545,0.00020798190912471647,198.07600913289934,0.040396400209525986,8.0,0.046433358918875456,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr1e-3_s123/results.json,kasa_cola_lr1e-3_s123,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-3_s42,0.1676604285777784,12.350762780685686,0.0013039684256452846,0.1567136947745181,0.9986960315743546,0.8432863052254819,12.349252780278524,0.22963894453520575,0.0058845093941878686,2.507611073553562,4.446333825588226,0.0002049688740650737,175.76537914030874,0.02958233867320814,8.0,0.03546684806739601,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr1e-3_s42/results.json,kasa_cola_lr1e-3_s42,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s0,0.03505724740007698,1.3990148920949872,0.0013701311928097364,0.12947674540849552,0.9986298688071903,0.8705232545915044,1.398845096429189,0.0036229418765287846,9.368025299257472e-05,2.682860786716143,3.0950486809015274,0.000635472245659055,2.5343419534910936,0.00497152583030432,8.0,0.0050652060832968955,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr1e-4_s0/results.json,kasa_cola_lr1e-4_s0,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s123,0.035194764075135686,1.40117444647481,0.0013512999022853428,0.13418985570444428,0.9986487000977146,0.8658101442955556,1.4010042746861775,0.003624616472128158,0.0001448908191529578,2.985808844367663,3.1090878446896872,0.0006213121350927056,2.519481623263952,0.0044658053939959546,8.0,0.004610696213148913,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr1e-4_s123/results.json,kasa_cola_lr1e-4_s123,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr1e-4_s42,0.03589902380040182,1.4084410886453835,0.0013981515942757844,0.13868396821655046,0.9986018484057242,0.8613160317834495,1.4082697754104931,0.0035238757263869047,0.0002119117481242938,2.789204463362694,3.013547877470652,0.0008122924069368563,2.503748760170614,0.003907647503221294,8.0,0.004119559251345588,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr1e-4_s42/results.json,kasa_cola_lr1e-4_s42,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s0,0.23902617378479651,17.75338308021923,0.001300249196527427,0.15249198505122705,0.9986997508034725,0.8475080149487729,17.751196761926014,0.5976972108085951,0.013445765383949038,0.9121831233302752,5.099484845995903,0.00017459216171532765,442.50277301420766,0.08867291779946147,8.0,0.10211868318341051,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr3e-3_s0/results.json,kasa_cola_lr3e-3_s0,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s123,0.17330471408389117,9.031400287390719,0.0013181921995695826,0.15782417881276742,0.9986818078004306,0.8421758211872326,9.03030695517858,0.1189993938120703,0.00861764648592119,2.3092963794867196,3.935809070865313,0.00039104773036178006,88.3990672508565,0.034869282197784436,8.0,0.04348692868370563,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr3e-3_s123/results.json,kasa_cola_lr3e-3_s123,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-3_s42,0.10579281254370303,7.458731351330641,0.0012808699955860273,0.13949528329274277,0.9987191300044143,0.8605047167072574,7.457824086149533,0.07656442125638326,0.001929321753171583,2.1996539359291396,3.8074813783168793,0.00024045058333985495,59.787173534433045,0.013021770835621282,8.0,0.014951092588792866,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr3e-3_s42/results.json,kasa_cola_lr3e-3_s42,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s0,0.08171350039055937,4.347138464050659,0.0013722557084884573,0.1483417046012854,0.9986277442915114,0.8516582953987145,4.346610605716705,0.029451644979417324,0.0012292056505126918,2.754138191541036,3.790344844261805,0.0005369911358671565,21.096474094626803,0.013856210773459074,8.0,0.015085416423971765,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr3e-4_s0/results.json,kasa_cola_lr3e-4_s0,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s123,0.08818019512885462,4.334697098451065,0.0013601730727300348,0.1451421205233588,0.9986398269272699,0.8548578794766413,4.334170530239741,0.03075002325931564,0.001366014891876451,3.038918157418569,3.877860297759374,0.0004721938797776204,21.53964095618964,0.013759177169655837,8.0,0.015125192061532289,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr3e-4_s123/results.json,kasa_cola_lr3e-4_s123,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/cola_lr3e-4_s42,0.09242030720502885,4.450973062758062,0.0013531874772249911,0.1555693385739786,0.9986468125227749,0.8444306614260214,4.4504322956005735,0.030864529272851843,0.001709809160805283,2.851863960425059,3.470356523990631,0.0004986517765966311,22.2674902951112,0.016583739484985927,8.0,0.01829354864579121,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_cola_lr3e-4_s42/results.json,kasa_cola_lr3e-4_s42,"query,value",cola
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s0,0.17041554352537683,8.435373122100756,0.001338802786242204,0.13471099527599426,0.9986611972137577,0.8652890047240058,8.434350917736689,0.10635453939903527,0.0060136821539344965,2.5663630614678064,3.7111157129208245,0.0005691656735112791,79.64657339969806,0.03973321462096161,8.0,0.04574689677489611,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_mrpc_lr1e-3_s0/results.json,kasa_mrpc_lr1e-3_s0,"query,value",mrpc
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s123,0.18024147269474466,8.820746222931946,0.0013763564162169956,0.11867996523596469,0.9986236435837826,0.8813200347640353,8.81968092918396,0.1210413499114414,0.008653472543301177,2.8805759847164154,3.9041524728139243,0.00043747565165514363,86.81620235011603,0.05063136685748759,8.0,0.05928483940078877,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_mrpc_lr1e-3_s123/results.json,kasa_mrpc_lr1e-3_s123,"query,value",mrpc
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-3_s42,0.17116338070242174,8.62670406233668,0.0013211564030854907,0.12755320106893867,0.9986788435969146,0.8724467989310614,8.625657866398493,0.11860875595205773,0.0059845261818433455,2.6784555365641913,3.6244314461946487,0.00036651512400882766,90.03044060559478,0.04158708154773194,8.0,0.047571607729575284,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_mrpc_lr1e-3_s42/results.json,kasa_mrpc_lr1e-3_s42,"query,value",mrpc
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-4_s0,0.021408699949255445,0.8963646452832191,0.0013759527638931074,0.15913657443530624,0.9986240472361069,0.8408634255646935,0.8962571745117506,0.0014468889949057484,0.00012683654495996657,2.6641680896282196,2.7340789437294006,0.0006967397865194825,1.0226443920018937,0.0005959363013422111,8.0,0.0007227728463021776,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_mrpc_lr1e-4_s0/results.json,kasa_mrpc_lr1e-4_s0,"query,value",mrpc
outputs/kasa_mechanistic/full/exp3_weighted_rank_ablation/kasa/mrpc_lr1e-4_s123,0.026492201148882438,1.0028452551671159,0.0013734377073897379,0.13749232191842642,0.9986265622926105,0.8625076780815738,1.0027233213186264,0.001838186906146196,0.00017510146065546905,2.977364937464396,2.8466366628805795,0.000704824634570468,1.3327870187398123,0.0012148457800644035,8.0,0.0013899472407198725,7.67282756169637,45.11933080355326,kasa,roberta-base,24,8,outputs/kasa_mechanistic/full/exp2_update_frame/kasa_mrpc_lr1e-4_s123/results.json,kasa_mrpc_lr1e-4_s123,"query,value",mrpc
